Movie,TrackType,Codec,DurationSec
"Shape of Water - Das Flüstern des Wassers (2017).mkv",subtitle,hdmv_pgs_subtitle,9.59
"Shape of Water - Das Flüstern des Wassers (2017).mkv",subtitle,hdmv_pgs_subtitle,8.68
"Shape of Water - Das Flüstern des Wassers (2017).mkv",audio,,1.85
"Shape of Water - Das Flüstern des Wassers (2017).mkv",audio,,1.63
"Shape of Water - Das Flüstern des Wassers (2017).mkv",muxing,,12.41
"The Dark Knight (2008).mkv",subtitle,subrip,0.02
"The Dark Knight (2008).mkv",subtitle,hdmv_pgs_subtitle,14.05
"The Dark Knight (2008).mkv",subtitle,hdmv_pgs_subtitle,13.43
"The Dark Knight (2008).mkv",subtitle,hdmv_pgs_subtitle,13.49
"The Dark Knight (2008).mkv",subtitle,hdmv_pgs_subtitle,10.53
"The Dark Knight (2008).mkv",subtitle,hdmv_pgs_subtitle,10.56
"The Dark Knight (2008).mkv",subtitle,hdmv_pgs_subtitle,10.38
"The Dark Knight (2008).mkv",subtitle,hdmv_pgs_subtitle,10.98
"The Dark Knight (2008).mkv",subtitle,hdmv_pgs_subtitle,8.33
"The Dark Knight (2008).mkv",subtitle,hdmv_pgs_subtitle,8.87
"The Dark Knight (2008).mkv",subtitle,hdmv_pgs_subtitle,8.07
"The Dark Knight (2008).mkv",subtitle,hdmv_pgs_subtitle,10.46
"The Dark Knight (2008).mkv",subtitle,hdmv_pgs_subtitle,10.60
"The Dark Knight (2008).mkv",subtitle,hdmv_pgs_subtitle,10.54
"The Dark Knight (2008).mkv",subtitle,hdmv_pgs_subtitle,10.99
"The Dark Knight (2008).mkv",subtitle,hdmv_pgs_subtitle,7.37
"The Dark Knight (2008).mkv",subtitle,hdmv_pgs_subtitle,10.41
"The Dark Knight (2008).mkv",subtitle,hdmv_pgs_subtitle,10.48
"The Dark Knight (2008).mkv",subtitle,hdmv_pgs_subtitle,8.37
"The Dark Knight (2008).mkv",subtitle,hdmv_pgs_subtitle,10.72
"The Dark Knight (2008).mkv",subtitle,hdmv_pgs_subtitle,11.98
"The Dark Knight (2008).mkv",subtitle,hdmv_pgs_subtitle,7.78
"The Dark Knight (2008).mkv",subtitle,hdmv_pgs_subtitle,12.62
"The Dark Knight (2008).mkv",audio,,1.95
"The Dark Knight (2008).mkv",audio,,1.77
"The Dark Knight (2008).mkv",muxing,,31.96
"ALL",prescan,ffprobe,0.12
"The Dark Knight Rises (2012).mkv",subtitle,subrip,0.21
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,15.83
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,15.48
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,15.58
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,15.35
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,15.51
"The Dark Knight Rises (2012).mkv",subtitle,hdmv_pgs_subtitle,15.34
